F1,id,Lat,Long,Pr,d_o,m_n,N_o_r,r_p_m,ava_2020,room_type
13259,10827567,40.6725,-73.93981,98,20,3,138,2.98,1,1
32423,28050532,40.62588,-73.96396,89,20,3,36,2.38,73,1
8786,7202368,40.68651,-73.933,98,20,3,108,2.07,131,1
22087,19200270,40.60658,-73.99738,113,20,3,78,2.63,154,1
9762,7968983,40.66125,-73.89976,275,20,3,85,1.66,310,1
27362,22699847,40.69292,-73.94657,150,20,3,38,1.72,329,1
4877,3775259,40.6872,-73.93805,169,20,3,190,3,351,1
34443,29921569,40.71518,-73.95777,300,21,3,8,0.66,64,1
21558,18789421,40.68843,-73.92536,125,21,3,113,3.79,325,1
9133,7500571,40.68544,-73.93872,102,21,3,75,1.46,335,1
3751,2551532,40.68709,-73.95558,176,21,3,181,2.64,338,1
18523,15888448,40.68148,-73.8904,63,21,3,59,1.61,349,1
5241,4089102,40.68407,-73.95487,152,23,3,162,2.56,1,1
1903,915020,40.66414,-73.98457,150,23,3,150,1.86,336,1
2761,1750679,40.66946,-73.95008,185,23,3,121,2.02,348,1
5394,4216813,40.72309,-73.93767,200,23,3,108,1.72,353,1
6450,4930683,40.68168,-73.9368,100,24,3,91,1.8,308,1
2513,1467106,40.69301,-73.94551,155,25,3,245,3.19,0,1
6947,5533000,40.69525,-73.91385,250,25,3,31,0.55,78,1
27417,22747209,40.63762,-73.91004,95,25,3,4,0.18,143,1
25900,21859466,40.71769,-73.96339,300,25,3,31,1.28,312,1
10129,8319488,40.67173,-73.98303,300,25,3,84,1.64,316,1
20086,17256012,40.69397,-73.92649,150,25,3,71,2.15,327,1
13756,11553357,40.68174,-73.91365,125,25,3,53,1.17,353,1
19926,17042235,40.71247,-73.96155,225,26,3,15,0.46,0,1
2657,1652996,40.68005,-73.93911,135,26,3,188,2.51,74,1
4777,3685704,40.68822,-73.94357,95,26,3,129,2.22,250,1
28264,23664113,40.71732,-73.95394,400,27,3,5,0.28,285,1
7663,6316005,40.68068,-73.92874,280,27,3,157,2.83,329,1
2560,1520806,40.68084,-73.92804,170,28,3,150,2.08,1,1
19379,16454273,40.66643,-73.97598,165,28,3,43,1.28,226,1
10445,8616888,40.67017,-73.94852,360,28,3,13,0.35,295,1
21185,18455830,40.69063,-73.91224,190,28,3,50,1.61,337,1
31009,26715682,40.59166,-73.96672,76,30,3,40,2.39,310,1
6759,5297292,40.68211,-73.92121,150,30,3,118,2.07,356,1
2014,997404,40.68364,-73.92638,145,31,3,213,2.62,1,1
6749,5285867,40.64858,-73.96378,90,31,3,28,0.48,71,1
9596,7838393,40.70985,-73.96923,500,31,3,45,0.88,256,1
5349,4178851,40.71961,-73.95837,380,31,3,119,1.9,349,1
6124,4742068,40.61957,-73.9936,93,32,3,61,1.06,338,1
16370,13757434,40.68398,-73.94101,90,33,3,125,3,291,1
24910,21292130,40.67433,-73.92824,265,33,3,33,1.29,347,1
6361,4860650,40.66003,-73.98567,150,34,3,77,1.29,0,1
33474,29101869,40.69898,-73.94705,95,34,3,51,3.98,7,1
6552,5031178,40.68594,-73.90653,174,34,3,213,3.64,323,1
2408,1351217,40.68208,-73.93115,98,35,3,161,2.91,1,1
19480,16533954,40.67673,-73.95311,171,36,3,92,2.76,40,1
5151,4000621,40.6835,-73.92754,145,37,3,133,2.15,302,1
15923,13507377,40.66769,-73.98886,190,37,3,41,0.99,330,1
4436,3369100,40.67978,-73.97458,175,38,3,196,2.96,332,1
11896,9730432,40.64962,-74.00028,95,38,3,95,1.98,347,1
18032,15360248,40.71322,-73.9648,408,39,3,102,2.7,308,1
27122,22465327,40.69023,-73.91621,399,40,3,20,0.91,298,1
13097,10573225,40.6651,-73.98307,135,41,3,153,3.24,292,1
4716,3635348,40.67927,-73.93208,150,42,3,134,2.07,234,1
29043,24460450,40.67765,-73.89327,125,43,3,63,3.26,311,1
18579,15952447,40.67192,-73.97733,185,43,3,126,3.43,319,1
3381,2203926,40.71292,-73.95876,325,44,3,186,3.33,330,1
2258,1209921,40.68272,-73.92885,99,44,3,80,1.07,348,1
21275,18542490,40.6764,-73.95497,171,45,3,75,2.63,37,1
18430,15798969,40.6459,-73.9642,153,45,3,70,1.95,275,1
25765,21797928,40.63146,-73.96227,95,45,3,34,1.4,291,1
28517,23877625,40.68311,-73.93124,165,48,3,76,3.72,337,1
7630,6285844,40.70451,-73.92685,145,48,3,108,1.95,344,1
1423,688652,40.69445,-73.96401,249,49,3,20,0.23,340,1
11850,9707498,40.66759,-73.99009,120,50,3,161,3.41,0,1
9033,7415905,40.6846,-73.94478,125,50,3,146,2.77,122,1
13048,10527274,40.67895,-73.92851,125,50,3,84,3.01,286,1
2648,1645667,40.68656,-73.95348,130,51,3,237,3.13,338,1
2443,1392144,40.67071,-73.94752,275,52,3,27,0.35,311,1
23496,20231046,40.69426,-73.90785,157,53,3,94,3.37,245,1
17799,15111011,40.68408,-73.95411,140,54,3,70,1.85,275,1
2960,1922863,40.71715,-73.95527,248,54,3,68,1,313,1
8233,6749285,40.67837,-73.95517,150,55,3,228,4.33,261,1
1429,690603,40.67722,-73.95005,150,55,3,78,1.83,335,1
19126,16331234,40.70581,-73.95004,100,55,3,84,2.32,342,1
26035,21932460,40.6894,-73.99546,90,57,3,33,1.36,77,1
6933,5511036,40.67687,-73.96242,99,58,3,83,1.48,323,1
31878,27538237,40.67166,-73.94674,115,59,3,52,4.11,198,1
5336,4168812,40.6805,-73.93775,115,59,3,139,2.22,238,1
22354,19401219,40.69257,-73.94657,165,60,3,95,3.19,257,1
31916,27570074,40.6626,-73.95598,195,60,3,52,3.41,271,1
3681,2478415,40.68075,-74.00961,134,60,3,167,2.41,288,1
4260,3177702,40.68291,-73.94613,155,60,3,50,0.75,347,1
9893,8102012,40.70992,-73.96746,148,61,3,34,0.66,67,1
10120,8308683,40.68537,-73.8775,65,61,3,173,3.36,304,1
14060,11905096,40.63397,-73.9654,119,62,3,135,3.31,324,1
15732,13398348,40.7157,-73.95983,165,65,3,114,2.74,148,1
17080,14296598,40.71932,-73.95649,249,65,3,112,2.83,331,1
21484,18721341,40.67574,-73.94722,90,68,3,86,2.86,0,1
6264,4813140,40.69711,-73.93373,320,70,3,140,3.37,270,1
8034,6611652,40.68779,-73.91407,375,74,3,53,1.1,228,1
8249,6761985,40.71374,-73.9627,160,75,3,36,0.67,197,1
2152,1117516,40.68798,-73.93903,95,75,3,232,2.91,327,1
7030,5627418,40.68153,-73.93825,135,77,3,146,2.61,322,1
15519,13249656,40.68063,-73.95015,140,82,3,143,3.37,1,1
17261,14503754,40.6707,-73.94793,135,85,3,47,1.18,356,1
33052,28681181,40.69394,-73.95183,100,86,3,40,2.73,223,1
14333,12209944,40.68264,-73.94238,265,92,3,134,3.13,288,1
28577,23935141,40.64866,-73.96986,175,94,3,69,3.53,248,1
31023,26735217,40.63592,-73.95254,333,95,3,2,0.14,270,1
14382,12252993,40.6733,-73.91235,89,95,3,99,2.27,339,1
5243,4089915,40.7041,-73.92476,84,99,3,130,2.26,0,1
3022,1960358,40.68528,-73.87819,70,100,3,241,3.47,273,1
2928,1897447,40.68374,-73.98558,145,101,3,285,4.43,309,1
9125,7498271,40.69593,-73.92057,172,102,3,153,3.05,284,1
21153,18424928,40.66399,-73.98301,210,103,3,5,0.17,18,1
13859,11653081,40.64841,-73.96969,150,103,3,142,3.33,248,1
23733,20459818,40.6938,-73.94836,165,103,3,87,3.13,294,1
30530,26164046,40.66741,-73.92974,300,104,3,41,2.32,286,1
25590,21710003,40.72365,-73.95188,250,105,3,39,1.58,99,1
34956,30254229,40.67339,-73.91415,149,108,3,54,4.63,179,1
33578,29184981,40.67792,-73.9484,99,109,3,15,1.19,248,1
32104,27731269,40.68387,-73.94162,150,118,3,61,3.91,252,1
7354,6013186,40.68446,-73.93956,125,119,3,79,1.83,78,1
32539,28155197,40.67737,-73.94034,115,119,3,53,3.74,233,1
11582,9529332,40.69093,-73.97046,191,120,3,119,2.57,302,1
5940,4629211,40.69087,-73.90917,122,121,3,53,0.88,251,1
2645,1644146,40.68468,-73.99145,165,126,3,98,1.3,320,1
7694,6336738,40.68351,-73.93224,125,127,3,99,1.88,241,1
12827,10246056,40.7126,-73.94668,255,129,3,117,2.55,177,1
5264,4115327,40.66617,-73.98627,158,135,3,98,1.58,0,1
6488,4968633,40.68045,-73.93796,95,135,3,58,1.21,195,1
31363,27030230,40.6726,-73.93992,135,135,3,36,2.43,309,1
2872,1851767,40.69322,-73.94581,345,137,3,201,2.79,1,1
3081,2000576,40.66952,-73.94377,150,137,3,165,2.26,192,1
12004,9777504,40.71761,-73.95423,325,139,3,99,2.07,222,1
24655,21139995,40.67834,-73.94899,105,139,3,8,0.31,338,1
29885,25371790,40.67737,-74.00733,170,143,3,23,1.28,27,1
20106,17277132,40.69343,-73.99611,100,146,3,3,0.15,0,1
10419,8594833,40.67521,-74.01103,352,146,3,7,0.14,0,1
2566,1524562,40.69399,-73.93135,89,149,3,99,1.38,258,1
2279,1232212,40.71038,-73.96299,225,151,3,60,0.79,6,1
15997,13543171,40.70707,-73.9528,250,152,3,9,0.23,312,1
10239,8423636,40.67352,-73.95633,80,153,3,55,1.16,335,1
14854,12806016,40.64159,-73.95985,175,154,3,108,2.49,182,1
26002,21914499,40.68616,-73.94295,160,157,3,49,2.01,213,1
33344,28980678,40.68193,-73.93569,150,160,3,20,1.45,337,1
27656,23010967,40.67074,-73.94896,125,161,3,91,4.68,0,1
12841,10262473,40.62296,-74.01483,69,162,3,37,0.82,95,1
31617,27308432,40.67189,-73.95624,135,165,3,54,3.38,182,1
11392,9422573,40.68041,-73.93612,100,168,3,95,1.95,142,1
18226,15561163,40.68642,-73.92864,90,169,3,96,2.86,0,1
28499,23861367,40.68469,-73.90761,69,170,3,87,4.19,178,1
7378,6040757,40.67554,-73.96384,225,172,3,32,0.58,3,1
9990,8189121,40.68326,-73.99327,115,172,3,28,0.54,285,1
3779,2590590,40.6883,-73.95644,92,174,3,249,3.67,204,1
20990,18266400,40.68356,-73.93921,147,180,3,88,2.81,38,1
27254,22587295,40.68611,-73.98336,175,180,3,63,2.97,208,1
2037,1021491,40.66974,-73.958,85,187,3,11,0.66,0,1
2168,1130680,40.68767,-73.91261,100,187,3,328,4.1,142,1
31231,26893534,40.70528,-73.934,250,187,3,7,0.47,154,1
12002,9776054,40.68581,-73.94689,800,187,3,33,0.69,178,1
27425,22751906,40.68117,-73.93537,105,187,3,52,2.4,186,1
34090,29656826,40.71131,-73.94156,200,189,3,44,3.35,148,1
14401,12282543,40.70528,-73.92938,183,191,3,18,0.41,357,1
19677,16726217,40.67676,-73.94513,150,194,3,25,0.77,33,1
22360,19407214,40.66929,-73.89079,133,195,3,86,2.92,244,1
2413,1354415,40.67927,-73.94252,100,197,3,173,2.24,70,1
33189,28838673,40.68523,-73.93833,290,197,3,68,4.7,140,1
35139,30374563,40.7092,-73.9631,195,198,3,21,1.77,8,1
35555,30539307,40.68294,-73.95451,150,198,3,41,3.46,95,1
15137,13033170,40.71214,-73.94992,175,198,3,142,3.44,125,1
32889,28513774,40.6757,-73.88925,175,198,3,45,3.58,317,1
32249,27891791,40.6491,-73.92532,75,199,3,21,1.41,162,1
33838,29453598,40.66935,-73.94133,119,199,3,32,2.38,177,1
8045,6619589,40.64683,-73.95429,110,199,3,70,1.3,247,1
33096,28730581,40.62165,-74.02336,245,200,3,38,2.66,261,1
34482,29942679,40.65092,-73.9632,120,201,3,4,0.48,146,1
4277,3202590,40.67138,-73.94949,225,202,3,89,1.34,0,1
5308,4137789,40.65282,-73.97394,180,202,3,61,0.99,153,1
23479,20214413,40.68606,-73.93861,100,203,3,62,2.21,0,1
25562,21694908,40.67764,-73.94493,175,203,3,52,2.1,344,1
21510,18737594,40.68499,-73.96524,675,204,3,4,0.26,0,1
9369,7692326,40.66465,-73.95372,225,206,3,123,2.41,171,1
31154,26833963,40.71193,-73.95956,200,207,3,45,3.23,127,1
31978,27622210,40.71295,-73.94459,180,207,3,31,1.92,158,1
27209,22543433,40.67191,-73.93411,350,208,3,8,0.42,155,1
24144,20760187,40.68371,-73.9405,160,208,3,29,1.1,160,1
23079,19929279,40.69539,-73.9666,300,209,3,81,2.95,116,1
31863,27527902,40.6944,-73.9242,90,211,3,42,2.68,50,1
22262,19330743,40.64076,-73.88298,90,211,3,55,1.89,159,1
24994,21332241,40.68624,-73.9122,175,212,3,67,2.6,126,1
7405,6069703,40.71462,-73.96309,179,213,3,51,0.91,49,1
28120,23523123,40.67594,-73.89365,60,214,3,82,3.84,63,1
25518,21666679,40.68559,-74.0011,130,214,3,8,0.32,142,1
19908,17010314,40.70881,-73.9468,155,214,3,72,2.25,178,1
2806,1797025,40.67204,-73.95147,107,216,3,159,2.14,107,1
11608,9546039,40.70665,-73.93529,218,216,3,111,2.39,166,1
1874,887129,40.71437,-73.96054,191,217,3,170,2.12,66,1
24402,20960203,40.69563,-73.97051,200,217,3,71,2.71,131,1
18122,15469541,40.68906,-73.93675,130,217,3,41,1.3,227,1
18457,15819665,40.68442,-73.9083,99,218,3,139,3.75,141,1
33466,29095217,40.63853,-73.94869,140,219,3,47,3.56,168,1
29081,24514490,40.65871,-73.9789,125,220,3,23,1.27,42,1
27712,23061070,40.64129,-73.91316,130,223,3,155,7,149,1
32881,28500619,40.71859,-73.95202,375,223,3,38,2.61,215,1
8419,6912211,40.68402,-73.95573,122,223,3,113,2.11,347,1
23672,20403568,40.72642,-73.94574,130,224,3,61,2.16,72,1
26554,22173625,40.6714,-73.87701,55,224,3,70,2.89,150,1
16354,13749474,40.68574,-73.92975,118,225,3,38,3.37,55,1
33752,29357103,40.67005,-73.88401,350,225,3,3,0.41,71,1
2307,1266411,40.68445,-73.93785,181,226,3,165,3.1,240,1
13043,10525911,40.71402,-73.94432,245,231,3,17,0.37,3,1
25077,21390251,40.66933,-73.99158,125,231,3,89,3.46,133,1
20300,17515391,40.66587,-73.98206,150,232,3,82,2.55,134,1
33486,29105563,40.63905,-73.95046,120,234,3,29,2.19,162,1
20251,17463985,40.68409,-73.94154,300,238,3,37,1.13,1,1
7945,6542603,40.71839,-73.94329,175,238,3,10,0.18,6,1
15124,13020422,40.71293,-73.9603,195,238,3,64,1.48,155,1
28184,23595420,40.71068,-73.96035,378,239,3,17,0.84,128,1
27099,22449860,40.6832,-73.9529,225,242,3,73,3.48,129,1
31384,27061623,40.67738,-73.99723,150,242,3,28,1.68,154,1
18135,15480133,40.71434,-73.96085,250,243,3,19,0.51,24,1
18308,15665152,40.68134,-73.92226,120,245,3,131,3.5,4,1
34142,29698179,40.67918,-73.97408,108,247,3,19,1.47,0,1
9290,7633154,40.66307,-73.9834,195,247,3,92,1.75,0,1
10624,8796283,40.68967,-73.93381,130,249,3,132,2.89,111,1
10714,8865499,40.72216,-73.94255,129,253,3,99,2.01,0,1
30707,26355413,40.7197,-73.95745,209,258,3,3,0.17,0,1
18593,15958841,40.65766,-73.99919,95,258,3,89,2.5,108,1
21112,18386105,40.68435,-73.94135,150,259,3,50,1.66,165,1
4527,3465604,40.6857,-73.97088,375,260,3,7,0.11,0,1
2966,1928570,40.71532,-73.94581,143,264,3,10,0.41,138,1
11127,9217837,40.66249,-73.98704,150,265,3,35,0.71,0,1
33233,28891434,40.67294,-73.93655,120,265,3,51,3.61,153,1
29868,25350452,40.69566,-73.90687,95,266,3,23,1.32,2,1
29039,24453838,40.71692,-73.94132,225,270,3,36,1.9,141,1
22288,19354239,40.66891,-73.94605,150,272,3,29,0.98,97,1
4382,3303301,40.68207,-73.94994,200,272,3,127,1.95,100,1
32920,28558474,40.68803,-73.973,140,273,3,8,0.55,0,1
13615,11378564,40.72555,-73.95323,176,274,3,147,3.8,80,1
27621,22980907,40.64579,-73.97383,57,274,3,113,5.04,196,1
33604,29215351,40.7075,-73.96576,96,275,3,37,2.73,0,1
20448,17680571,40.69076,-73.95404,122,275,3,68,2.06,41,1
20652,17887871,40.72158,-73.94578,175,276,3,87,2.75,6,1
24054,20696496,40.68591,-73.9249,159,276,3,36,1.31,32,1
29291,24737425,40.7116,-73.95137,225,282,3,32,1.76,77,1
17437,14741343,40.65549,-73.96183,189,282,3,2,0.05,83,1
5731,4481474,40.68339,-73.9422,135,282,3,20,0.33,86,1
34293,29828155,40.62221,-73.90975,54,282,3,31,2.47,165,1
30409,26043558,40.68681,-73.93344,173,283,3,34,1.92,159,1
34484,29943061,40.67961,-73.92461,120,284,3,23,1.84,68,1
19042,16287863,40.68164,-73.9779,125,285,3,22,0.62,0,1
33700,29306602,40.6703,-73.93597,149,285,3,24,1.99,0,1
27136,22479006,40.68853,-73.96943,260,286,3,54,2.8,71,1
25752,21786958,40.6703,-73.94182,250,286,3,52,2.18,74,1
16528,13877683,40.68082,-73.91128,99,286,3,162,3.95,79,1
28326,23703345,40.6663,-73.87448,139,287,3,36,1.76,74,1
20968,18240963,40.57609,-73.98605,107,287,3,75,2.37,176,1
15118,13018248,40.70772,-73.95978,160,288,3,13,0.31,0,1
12538,10035920,40.6698,-73.94992,175,288,3,83,1.74,47,1
4374,3293500,40.68073,-73.90915,128,289,3,98,1.55,70,1
3629,2432622,40.72545,-73.95405,200,290,3,3,0.05,3,1
1915,921585,40.68336,-73.93648,280,291,3,71,0.87,323,1
32946,28583186,40.6909,-73.92662,140,292,3,30,2.35,161,1
11980,9767424,40.71602,-73.96248,130,292,3,95,1.99,285,1
18761,16100819,40.71026,-73.94744,145,293,3,50,1.37,0,1
10929,9051437,40.66588,-73.95677,140,293,3,68,1.37,76,1
31210,26874462,40.6703,-73.98003,136,293,3,49,3.09,113,1
26015,21923996,40.65028,-73.97771,165,294,3,57,2.33,40,1
17812,15122925,40.61238,-73.99805,100,294,3,59,1.62,80,1
18395,15774003,40.60396,-73.95761,146,294,3,113,3.1,85,1
27589,22951923,40.68876,-73.95265,150,296,3,58,2.9,53,1
12868,10289124,40.68507,-73.93888,99,296,3,103,2.28,64,1
30045,25559914,40.70149,-73.99337,199,297,3,57,3.24,0,1
22019,19160504,40.70533,-73.92778,65,297,3,92,3.05,58,1
5982,4651486,40.655,-73.96109,125,297,3,64,2.27,77,1
15050,12966504,40.71827,-73.95494,219,298,3,57,1.34,15,1
2540,1491991,40.6747,-73.97947,190,299,3,17,0.26,19,1
13368,11011567,40.68443,-74.00392,145,299,3,42,1.06,36,1
23288,20075554,40.66888,-73.93638,199,299,3,5,0.29,72,1
11684,9594976,40.68199,-73.95021,130,299,3,40,0.82,154,1
18326,15699850,40.64008,-73.96579,180,300,3,5,0.13,0,1
29513,24965929,40.69476,-73.97224,108,301,3,8,0.43,63,1
23285,20073959,40.66966,-73.93719,99,302,3,48,1.73,69,1
7370,6029809,40.68245,-73.91951,100,303,3,126,2.45,35,1
19746,16797910,40.67219,-73.92168,75,303,3,85,2.5,63,1
22426,19455284,40.6696,-73.93655,88,303,3,38,1.36,72,1
2998,1941495,40.68626,-73.91324,249,303,3,88,1.22,72,1
29652,25126089,40.68316,-73.91637,120,303,3,50,2.68,93,1
16589,13906636,40.68535,-73.94959,138,303,3,111,2.8,131,1
34209,29760102,40.71845,-73.96241,230,304,3,6,0.47,0,1
16708,13980920,40.65565,-73.93573,380,305,3,4,0.29,64,1
29447,24911170,40.68452,-73.91614,99,305,3,77,4.16,146,1
28911,24305035,40.71746,-73.9506,120,306,3,10,0.52,5,1
19194,16362150,40.67769,-73.95309,100,306,3,6,0.18,59,1
2024,1009883,40.68204,-73.99249,350,307,3,44,0.59,24,1
13444,11137382,40.69155,-73.94975,165,308,3,137,3.05,53,1
22337,19386444,40.68326,-73.92448,150,309,3,92,3.21,42,1
21609,18836754,40.68799,-73.92295,110,309,3,72,2.34,138,1
27788,23128247,40.64593,-73.97745,84,312,3,38,1.8,0,1
25514,21665842,40.68615,-73.9972,300,315,3,12,0.51,71,1
34556,29984118,40.68946,-73.97279,270,316,3,3,0.25,139,1
30175,25799876,40.61722,-73.96696,50,318,3,14,0.77,0,1
19322,16423080,40.73203,-73.95572,89,320,3,69,1.94,0,1
20344,17554081,40.70983,-73.96495,109,321,3,92,2.82,51,1
9045,7426597,40.66892,-73.99136,165,321,3,194,3.65,120,1
30093,25674366,40.71577,-73.9553,295,322,3,14,0.79,0,1
26424,22100149,40.64688,-74.00209,150,324,3,6,0.25,174,1
34730,30090198,40.67775,-73.94913,99,325,3,9,0.79,0,1
22449,19472906,40.69269,-73.97093,180,329,3,53,1.97,88,1
8396,6887755,40.59627,-73.97287,109,330,3,234,4.45,52,1
16543,13881622,40.71558,-73.93577,249,332,3,26,0.67,0,1
27096,22448487,40.68317,-73.92777,139,332,3,17,1.28,38,1
17798,15110120,40.69293,-73.99113,188,333,3,34,0.88,11,1
28857,24261171,40.69592,-73.94765,168,334,3,26,1.32,64,1
25380,21591942,40.71432,-73.9497,358,334,3,77,3.12,231,1
30064,25616250,40.64314,-73.95705,75,335,3,10,0.59,0,1
4435,3368441,40.68981,-73.97768,316,336,3,33,0.51,3,1
2503,1457505,40.67265,-73.9247,85,336,3,71,0.95,9,1
28639,24016646,40.68238,-73.92918,100,337,3,3,0.15,0,1
28242,23642287,40.67186,-73.93684,77,337,3,21,1,4,1
8177,6713521,40.68447,-73.9543,229,337,3,27,0.51,21,1
29662,25132635,40.68686,-73.95426,140,338,3,9,0.56,13,1
22561,19569481,40.71312,-73.94867,250,340,3,31,1.05,0,1
32744,28358001,40.71544,-73.96073,175,340,3,16,1.09,10,1
28766,24157013,40.68123,-73.99424,100,341,3,7,0.35,0,1
8904,7309427,40.66691,-73.98658,399,341,3,12,0.3,0,1
18798,16145871,40.6734,-73.98235,250,342,3,55,1.51,0,1
10364,8533225,40.68821,-73.9187,229,342,3,176,3.53,255,1
21037,18306713,40.69449,-73.92629,235,343,3,4,0.14,0,1
34552,29981728,40.69869,-73.9124,82,344,3,4,0.33,0,1
26515,22153425,40.65229,-73.96551,125,344,3,46,1.95,6,1
24037,20688422,40.66334,-73.94651,130,344,3,19,0.71,101,1
33831,29450310,40.67811,-73.97974,200,345,3,3,0.24,0,1
26152,21975315,40.71212,-73.94011,180,345,3,9,0.41,0,1
25613,21721040,40.65168,-73.96411,100,346,3,15,0.78,0,1
32466,28100131,40.69032,-73.97678,335,347,3,36,2.47,0,1
24104,20729909,40.67884,-73.97493,120,348,3,7,0.28,0,1
32098,27728631,40.65661,-73.96065,100,349,3,6,0.39,0,1
2147,1114409,40.68545,-73.97572,150,349,3,25,0.32,1,1
25248,21504803,40.71873,-73.95535,80,349,3,27,1.06,23,1
26522,22159096,40.65413,-74.00242,160,350,3,19,0.79,64,1
34012,29612355,40.70218,-73.93034,140,351,3,3,0.27,0,1
15088,12999396,40.67498,-74.01169,400,351,3,11,0.25,0,1
22948,19845373,40.64584,-73.97711,89,351,3,57,1.97,0,1
32563,28184101,40.70076,-73.92382,180,351,3,2,0.14,50,1
27932,23311374,40.71794,-73.9595,125,352,3,12,0.55,0,1
12604,10070145,40.714,-73.96395,175,352,3,115,2.4,7,1
31451,27139625,40.68454,-73.96425,88,353,3,8,0.54,0,1
23096,19944880,40.71312,-73.9617,175,353,3,41,1.44,9,1
18118,15464934,40.6471,-74.0075,138,353,3,95,2.52,12,1
17788,15098153,40.72596,-73.94643,200,354,3,8,0.21,0,1
31468,27159696,40.69466,-73.98222,125,354,3,11,0.67,11,1
3417,2228840,40.70054,-73.92374,105,354,3,11,0.16,20,1
22668,19662367,40.67055,-73.93233,48,354,3,101,3.62,36,1
30129,25739275,40.65239,-73.94824,190,355,3,1,0.06,0,1
4244,3166540,40.678,-73.98049,270,355,3,6,0.14,7,1
24984,21324360,40.68661,-73.99097,200,355,3,34,1.31,14,1
18347,15718412,40.72831,-73.95634,250,356,3,2,0.09,0,1
27218,22550289,40.69335,-73.9984,175,356,3,8,0.36,0,1
17746,15056050,40.64837,-73.9618,88,356,3,10,0.26,0,1
19965,17106644,40.67395,-73.95682,135,356,3,17,0.56,0,1
18919,16219145,40.68814,-73.97452,150,356,3,40,1.12,2,1
18673,16023497,40.68309,-73.98529,340,356,3,13,0.37,22,1
35101,30352538,40.70946,-73.96567,140,356,3,17,1.71,41,1
31909,27555063,40.6932,-73.9945,200,357,3,4,0.25,0,1
3855,2678773,40.71262,-73.95292,180,357,3,13,0.2,0,1
32731,28344821,40.68757,-73.92923,145,357,3,14,0.95,0,1
21944,19099408,40.73145,-73.95135,100,357,3,16,0.56,0,1
4227,3139918,40.68474,-73.97959,150,357,3,63,0.99,0,1
16596,13911729,40.69389,-73.99586,215,357,3,7,0.39,5,1
35025,30297696,40.6848,-73.96614,125,357,3,2,0.16,19,1
15399,13183047,40.685,-73.99369,250,358,3,12,0.28,0,1
21299,18562269,40.67693,-73.96517,185,358,3,3,0.27,11,1
33159,28787471,40.67644,-73.91078,125,358,3,9,0.67,43,1
14988,12913007,40.68425,-73.96455,120,359,3,5,0.19,0,1
31996,27637065,40.68175,-73.93966,175,359,3,8,0.52,0,1
10214,8403327,40.7127,-73.94048,110,359,3,11,0.22,5,1
6151,4756578,40.71383,-73.96289,298,359,3,23,0.5,7,1
16980,14186084,40.6826,-73.91989,129,359,3,77,1.96,62,1
26354,22066430,40.71305,-73.95995,148,359,3,29,1.21,70,1
8092,6654081,40.66016,-73.95382,205,360,3,1,0.09,0,1
22822,19766555,40.71441,-73.94527,140,360,3,4,0.16,0,1
20924,18195445,40.6778,-73.96321,85,360,3,6,0.47,0,1
31387,27061895,40.68345,-73.93874,95,360,3,6,0.38,0,1
31788,27471155,40.71832,-73.95566,150,360,3,7,0.44,0,1
18463,15827538,40.70944,-73.96161,209,360,3,26,0.71,0,1
21670,18878260,40.68329,-73.99764,245,360,3,29,0.97,2,1
14795,12740726,40.7119,-73.94638,225,360,3,21,0.77,9,1
3900,2736911,40.64468,-73.97208,200,361,3,2,0.03,0,1
33261,28912811,40.675,-73.9422,65,361,3,7,0.5,0,1
4672,3603426,40.68274,-73.91856,97,361,3,15,0.23,0,1
31662,27364236,40.71449,-73.94195,250,361,3,3,0.21,14,1
5255,4102208,40.67335,-73.99886,125,361,3,116,2.07,85,1
5563,4351563,40.67757,-73.96412,110,362,3,8,0.13,0,1
11691,9596854,40.67726,-73.95928,135,362,3,23,0.54,2,1
18958,16241319,40.64625,-73.95048,200,362,3,6,0.17,4,1
29372,24827469,40.70012,-73.95082,130,363,3,2,0.11,0,1
28610,23979192,40.67395,-73.94874,77,363,3,3,0.15,0,1
27894,23271736,40.69061,-73.99264,113,363,3,4,0.19,0,1
27251,22586049,40.71412,-73.93829,150,363,3,8,0.47,0,1
21184,18455236,40.70294,-73.94152,94,363,3,39,1.24,0,1
24108,20738759,40.6904,-73.99376,135,363,3,25,0.92,7,1
5526,4311648,40.71436,-73.96362,285,363,3,49,0.79,61,1
22218,19306475,40.65193,-73.97743,300,363,3,1,0.04,340,1
21368,18615964,40.69121,-73.95121,90,364,3,6,0.26,0,1
30719,26360690,40.65529,-73.95971,125,364,3,31,1.81,0,1
16095,13604485,40.6878,-73.95493,90,364,3,97,2.32,0,1
4805,3709013,40.68473,-73.95697,99,364,3,14,0.35,2,1
27810,23158057,40.68293,-73.98849,100,364,3,8,0.37,57,1
23126,19963733,40.69677,-73.99599,585,136,3,12,0.42,180,1
31361,27030035,40.70073,-73.99451,189,343,3,51,3.12,42,1
27190,22518038,40.69379,-73.99753,300,360,3,13,0.62,0,1
9506,7775879,40.69705,-73.97743,165,89,3,135,2.59,120,1
19125,16330737,40.69601,-73.97114,220,357,3,8,0.23,0,1
31364,27032162,40.66648,-73.91375,98,42,3,56,3.84,132,1
1817,850517,40.68646,-73.91313,289,11,3,43,0.54,351,1
9240,7593263,40.68902,-73.9156,85,17,3,188,3.56,152,1
19030,16276172,40.68763,-73.91773,55,17,3,69,1.94,275,1
