F1,id,Lat,Long,Pr,d_o,m_n,N_o_r,r_p_m,ava_2020,room_type
112,28321,40.65593,-73.96053,75,4,2,9,0.08,355,0
113,28907,40.778,-73.94822,150,364,5,21,0.18,1,1
114,29013,40.68332,-73.9547,70,73,3,63,0.55,260,0
115,29455,40.81618,-73.94894,120,75,30,162,1.42,296,1
116,29628,40.68414,-73.96351,89,38,3,276,2.39,306,0
118,31130,40.76754,-73.98399,130,24,30,60,0.52,318,0
119,31902,40.63188,-73.93248,77,187,2,4,0.03,178,0
120,31994,40.6873,-73.9634,76,53,2,442,3.86,0,0
121,32023,40.68296,-73.93662,125,142,3,253,2.22,239,1
122,32037,40.6863,-73.96765,135,4,4,90,0.79,356,0
123,32100,40.73409,-73.95348,250,302,29,3,0.03,156,1
124,32289,40.71561,-73.94835,199,165,3,10,0.09,30,1
125,32329,40.72895,-73.98377,160,13,14,3,0.03,349,1
127,32363,40.74028,-73.83168,140,242,2,1,0.01,63,0
128,32965,40.68281,-73.93524,115,132,3,136,1.76,225,1
129,32969,40.71596,-73.93938,160,31,3,11,0.11,206,1
130,33009,40.71492,-73.95935,195,26,4,249,2.17,290,1
131,33223,40.71165,-73.96087,80,40,3,213,1.89,316,0
132,34760,40.69101,-73.97312,44,51,8,28,0.91,0,0
133,36121,40.67386,-73.96641,85,140,15,9,0.08,349,0
135,36442,40.6741,-73.96595,115,47,15,4,0.05,307,1
136,36647,40.79295,-73.93997,69,177,2,34,0.3,0,0
137,36703,40.73226,-74.00401,225,6,45,135,1.19,350,1
138,36934,40.71363,-73.96398,125,116,6,27,0.24,324,1
140,38638,40.77711,-73.9527,219,51,4,132,1.16,216,1
141,38663,40.68559,-73.98094,475,28,3,23,0.25,195,1
142,39267,40.77456,-73.95323,99,148,1,252,2.65,158,1
143,39282,40.71088,-73.95055,69,210,4,211,1.85,70,0
144,39572,40.76233,-73.98854,119,13,3,44,0.39,307,0
146,39593,40.74559,-73.92313,79,361,30,28,0.25,105,0
147,39704,40.68306,-73.94659,135,355,2,334,2.95,2,1
148,40039,40.70207,-73.98571,250,41,3,14,0.12,333,0
150,41348,40.66858,-73.99083,250,161,2,150,2.73,1,1
152,42580,40.68843,-73.96408,70,16,2,317,3.54,0,0
153,42729,40.6783,-74.00135,165,16,2,167,1.49,363,1
154,42882,40.64524,-74.08088,70,46,2,173,1.65,323,0
156,43957,40.70641,-73.91765,50,302,2,71,1.29,52,0
157,44096,40.83232,-73.93184,45,7,1,262,2.33,351,0
158,44161,40.71045,-73.9677,150,60,2,193,1.7,1,1
159,44212,40.72518,-73.98034,125,36,1,94,0.83,346,0
160,44229,40.69098,-73.97113,110,14,2,228,2.04,353,0
161,44288,40.73756,-74.00405,170,57,3,88,0.78,340,1
163,44506,40.81526,-73.94791,165,107,30,91,0.81,209,1
164,45393,40.73423,-74.0046,150,348,26,38,0.34,303,1
165,45542,40.82374,-73.9373,100,362,2,18,1.2,0,1
166,45556,40.68863,-73.97691,65,197,2,241,2.15,0,0
167,45910,40.70382,-73.89797,350,0,4,13,0.13,365,1
169,45936,40.80549,-73.95924,99,21,4,126,1.16,357,0
170,45940,40.71627,-73.9587,200,3,1,35,0.56,13,1
171,46544,40.67994,-73.97863,150,297,4,55,0.5,32,1
172,46723,40.67992,-73.9475,90,6,3,130,1.16,362,0
173,46911,40.67868,-73.97307,120,159,3,51,0.46,197,0
174,47199,40.76834,-73.95334,75,28,3,219,1.94,344,0
175,47362,40.68237,-73.9415,175,0,26,30,0.27,365,1
177,48719,40.71882,-73.98852,299,301,30,116,1.06,10,1
178,50447,40.6693,-73.98804,135,228,5,162,1.47,177,1
180,51572,40.74859,-73.99671,123,23,1,391,3.51,0,0
181,51850,40.67252,-73.76597,55,29,2,53,0.48,307,0
182,53137,40.76244,-73.99271,195,145,5,10,0.67,1,1
184,53469,40.71722,-73.87856,98,0,7,33,0.3,321,1
185,53470,40.70234,-73.89816,160,0,4,6,0.06,365,0
186,53477,40.71546,-73.87854,265,0,7,39,0.37,365,1
187,54453,40.76548,-73.98474,105,2,6,10,0.09,363,2
189,54508,40.6787,-73.97262,100,124,2,284,2.55,1,0
190,54544,40.81035,-73.94598,121,43,1,119,1.1,329,1
191,54626,40.83075,-73.93058,50,8,1,173,1.72,0,0
192,54860,40.79958,-73.94275,100,141,5,223,2.01,206,0
193,55467,40.71625,-73.93845,140,257,2,273,3.09,112,1
195,55668,40.72773,-73.99134,130,284,2,115,1.11,63,0
196,55959,40.70979,-73.95162,69,196,4,86,1.11,67,0
197,55982,40.68656,-73.97525,68,361,3,37,0.33,0,0
198,56467,40.72752,-73.98432,130,197,1,223,2.12,98,1
199,56859,40.81219,-73.94499,64,22,1,203,1.86,328,0
201,57297,40.68926,-73.99386,159,11,2,234,2.14,340,1
202,57468,40.72821,-73.98701,189,333,3,205,1.87,0,1
203,57618,40.7672,-73.98508,250,333,3,101,0.98,0,1
204,57740,40.73012,-73.99053,239,13,4,7,0.06,353,1
205,57754,40.7403,-73.98498,305,49,2,114,1.1,314,1
207,58059,40.8251,-73.94287,60,178,1,491,4.68,286,0
208,58062,40.6585,-73.98397,135,150,2,23,0.27,226,0
209,58467,40.76193,-73.9501,120,7,7,21,0.34,307,0
210,59014,40.72052,-73.98589,150,27,3,50,0.46,264,1
211,59121,40.70411,-73.89934,145,0,4,2,0.02,358,1
212,59855,40.7589,-73.96991,250,207,30,82,0.75,0,1
213,60164,40.72003,-74.00262,500,235,4,103,1.03,354,1
215,60611,40.79163,-73.94573,130,14,28,187,1.78,1,1
216,60666,40.8118,-73.94434,92,22,1,205,1.89,325,0
217,60673,40.81583,-73.94707,175,0,2,3,0.21,365,0
218,60680,40.72654,-73.98049,99,16,4,144,1.32,330,1
220,60948,40.80942,-73.93936,140,130,30,147,1.35,225,1
223,61492,40.71445,-73.9908,125,14,4,178,1.78,350,0
225,62427,40.7268,-73.99079,135,361,4,60,0.59,11,1
226,62430,40.688,-73.9171,99,289,3,123,2.16,34,1
227,62452,40.63536,-74.08537,38,23,2,204,1.87,0,0
228,62461,40.63627,-74.08543,38,40,2,155,1.45,354,0
229,62465,40.72763,-73.9835,129,11,5,86,1.33,348,0
230,62787,40.63518,-74.08546,37,31,2,190,1.75,348,0
231,62891,40.72477,-73.98161,175,36,3,194,1.78,257,1
232,62903,40.74238,-73.99567,205,313,6,66,0.71,79,1
233,62925,40.72945,-73.95511,285,19,3,126,1.18,339,1
234,63299,40.70763,-73.95177,59,344,2,205,1.91,35,0
235,63320,40.63481,-74.08519,38,25,2,386,3.53,347,0
236,63360,40.75384,-73.91433,99,34,5,457,4.43,315,1
237,63546,40.64106,-73.97426,39,0,1,46,0.44,365,0
240,63610,40.88057,-73.83572,105,19,2,41,0.51,347,1
241,63657,40.68236,-73.94314,135,342,2,266,2.45,3,1
243,63719,40.68503,-73.95385,70,57,3,37,0.4,216,0
245,64000,40.7069,-73.95467,60,1,29,14,0.13,1,0
247,64107,40.6778,-73.94339,100,13,3,304,2.8,354,0
248,64277,40.68317,-73.94701,70,27,4,18,0.21,364,0
249,64314,40.6761,-73.9529,110,0,6,109,1,365,0
250,64365,40.67586,-73.95155,60,29,2,241,2.3,332,0
251,64837,40.72321,-73.98157,68,303,2,211,1.94,21,0
253,65268,40.68276,-73.95264,75,230,5,64,0.64,218,0
255,65562,40.72956,-73.98158,129,27,7,5,0.13,219,1
256,65615,40.71069,-73.95175,130,295,10,53,0.49,33,1
257,65660,40.70863,-73.94641,95,284,4,149,1.37,74,1
258,65813,40.82888,-73.94307,75,7,3,20,0.24,337,0
259,65834,40.67319,-73.97323,175,264,2,11,0.1,7,1
260,66008,40.67846,-73.99443,190,20,3,59,0.63,322,1
261,66251,40.72681,-73.98534,212,308,3,81,1.44,71,1
262,66275,40.71904,-73.99392,95,27,1,130,1.26,340,0
263,66718,40.81322,-73.95306,135,167,6,200,1.9,1,1
264,66741,40.67732,-73.98225,150,64,2,238,2.21,0,1
265,66974,40.68076,-73.9896,190,77,3,76,0.83,327,1
267,67288,40.79603,-73.94903,124,70,28,25,0.28,137,1
268,67299,40.71492,-73.96282,135,282,30,58,0.55,85,1
269,67397,40.80393,-73.95838,122,25,3,109,1.04,0,0
270,68099,40.80082,-73.9652,109,18,1,112,1.08,365,0
272,68403,40.683,-73.91981,145,297,3,140,1.32,73,1
273,68735,40.78971,-73.9729,195,41,11,32,0.32,318,1
274,68765,40.67817,-73.99495,250,120,2,126,1.49,0,1
275,68974,40.71943,-73.99627,575,41,2,209,1.96,329,1
277,69894,40.78,-73.98249,150,335,30,49,0.53,0,1
278,70095,40.86713,-73.92811,90,216,2,129,1.29,0,0
279,70128,40.73198,-73.98881,65,248,31,53,0.6,0,0
280,70279,40.67714,-74.0113,185,3,14,64,0.61,364,1
281,70609,40.72542,-73.97986,500,47,2,53,0.5,1,1
282,71010,40.83494,-73.93869,265,12,3,34,0.43,328,1
283,71248,40.71659,-73.98945,125,198,25,46,0.43,93,1
284,71366,40.72966,-74.00243,200,159,30,41,0.44,94,1
286,71812,40.87207,-73.90193,92,210,8,6,0.36,186,1
287,72190,40.77728,-73.97818,110,314,13,38,0.37,0,1
288,72265,40.72646,-73.95341,59,304,3,32,0.38,73,0
289,74073,40.71015,-73.96101,195,305,3,81,0.79,136,1
290,74240,40.71903,-73.9597,169,115,1,69,0.65,82,1
292,74680,40.77635,-73.93426,115,41,2,219,2.12,0,1
295,75193,40.71398,-73.95763,69,317,2,244,2.29,0,0
296,75635,40.71876,-73.98394,150,174,3,311,2.91,1,1
297,76761,40.66552,-73.99019,169,211,2,420,3.99,0,1
298,77765,40.73749,-73.95292,179,9,3,38,0.36,19,2
